Word,Frequency
the,2050
of,1485
and,1006
to,998
a,845
i,645
in,634
that,470
is,397
you,330
my,312
as,302
not,293
by,290
it,285
but,253
be,228
for,224
or,220
with,220
at,182
his,180
was,170
have,168
which,167
are,164
me,162
this,161
from,160
all,154
your,149
no,147
one,144
he,143
so,130
more,126
our,124
an,122
their,121
had,116
on,115
see,111
would,110
what,100
they,98
if,97
we,93
has,89
will,89
flatland,88
line,87
now,83
there,80
two,79
can,77
could,77
when,75
must,75
even,72
were,72
any,71
other,71
some,70
three,69
him,65
then,64
how,63
them,62
only,61
than,60
may,59
who,59
every,58
been,58
sides,58
square,56
say,56
am,55
straight,55
space,54
circle,54
us,52
being,52
into,50
her,50
very,48
said,48
should,47
point,47
women,47
spaceland,46
once,46
out,46
circles,46
before,45
shall,45
dimensions,44
do,44
yet,44
these,44
nor,44
such,44
eye,43
classes,42
call,41
nature,41
isosceles,41
many,40
still,40
nothing,40
woman,40
upon,38
sight,37
words,37
most,36
time,36
dimension,34
know,34
without,34
cannot,33
class,33
wife,33
5000000pt,32
sense,32
make,32
about,31
himself,31
own,31
also,30
first,30
though,30
same,30
way,30
little,30
colour,29
up,29
whole,29
section,29
voice,29
sphere,28
among,27
much,27
well,27
long,27
mean,27
its,27
last,27
angles,27
side,27
inches,27
through,26
those,26
life,26
number,26
recognition,26
higher,25
too,25
course,25
indeed,25
myself,25
motion,25
third,24
least,24
half,24
part,24
great,24
moving,24
figure,24
angle,24
feeling,24
four,23
lines,23
far,23
man,23
down,23
means,23
feel,23
things,23
solid,22
plane,22
above,22
back,22
might,22
between,22
right,22
saw,22
themselves,21
law,21
found,21
while,20
direction,20
existence,20
power,20
few,20
always,20
thus,20
because,20
view,20
let,20
northward,20
each,20
art,20
page,19
therefore,19
take,19
less,19
length,19
circular,19
move,19
triangle,19
men,19
made,19
irregular,19
moment,19
polygon,19
thought,19
lord,19
look,18
called,18
just,18
like,18
another,18
world,18
country,18
find,18
where,18
regular,18
hundred,18
speak,18
replied,18
thy,18
result,17
readers,17
whose,17
almost,17
better,17
become,17
under,17
after,17
perfect,17
lineland,17
inside,17
marginbottom,16
margintop,16
heard,16
truth,16
came,16
state,16
question,16
did,16
left,16
whom,16
against,16
over,16
land,16
word,16
sex,16
give,16
again,16
itself,16
stranger,16
understand,16
does,15
second,15
years,15
really,15
neither,15
kind,15
except,15
equilateral,15
come,15
felt,15
house,15
states,15
female,15
year,15
lordship,15
upward,15
brightness,14
necessary,14
never,14
different,14
example,14
houses,14
single,14
small,14
degrees,14
either,14
away,14
longer,14
new,14
six,13
began,13
height,13
name,13
process,13
reason,13
yourself,13
position,13
points,13
squares,13
clear,13
lower,13
highest,13
appear,13
ask,13
subject,13
polygonal,13
order,13
sound,13
mouth,13
irregularity,13
bill,13
grandson,13
thou,13
ought,12
true,12
chief,12
suppose,12
anything,12
cube,12
touch,12
perhaps,12
easily,12
till,12
danger,12
thousand,12
size,12
creature,12
think,12
children,12
universal,12
she,12
ever,12
hearing,12
continued,12
rapidly,12
taught,12
pass,12
surely,12
seemed,12
king,12
terminal,12
region,11
possible,11
return,11
slight,11
fourth,11
meaning,11
hence,11
quite,11
figures,11
distinguish,11
soon,11
tradesman,11
towards,11
perfectly,11
male,11
day,11
days,11
alone,11
priests,11
social,11
saying,11
matter,11
society,11
university,11
enough,11
