Word,Frequency
the,19642
of,11816
and,8065
to,7662
in,4857
that,3945
a,3334
it,2499
by,2209
be,2112
as,2094
is,1786
was,1741
for,1698
i,1588
with,1565
this,1562
not,1488
on,1417
at,1363
or,1356
which,1337
he,1286
states,1230
his,1215
have,1194
from,1190
their,1122
all,1120
they,1058
had,1011
we,980
but,898
will,824
you,798
our,778
are,775
any,743
union,731
would,729
been,726
upon,721
were,660
an,656
its,635
if,621
them,603
no,597
mr,568
such,560
people,553
has,537
so,530
war,530
state,528
other,523
united,513
government,509
shall,506
one,501
now,496
slavery,482
may,466
there,465
who,455
south,447
these,444
said,444
when,434
men,424
constitution,420
time,416
general,411
congress,409
do,396
great,384
my,378
more,371
him,367
made,364
us,361
under,349
president,348
those,344
against,341
than,336
right,333
can,333
country,324
should,320
free,315
after,309
your,306
new,305
only,304
into,302
what,302
southern,294
rebel,291
up,290
lincoln,290
then,287
while,284
before,280
same,274
house,273
own,272
out,271
could,264
must,257
power,254
very,253
some,250
north,247
slaves,243
man,231
also,230
without,221
first,218
every,216
me,214
question,213
day,212
military,210
slave,210
rebellion,209
army,204
being,204
thus,200
well,200
last,195
act,188
over,188
within,187
about,186
national,185
part,184
most,182
two,181
much,181
party,179
both,179
law,177
laws,176
did,176
carolina,175
even,174
make,173
between,172
down,171
property,169
cannot,167
left,166
vote,165
senate,164
say,162
yet,160
emancipation,157
washington,156
let,154
peace,154
come,153
republican,152
am,152
years,151
persons,151
following,150
order,150
subject,150
through,149
service,149
virginia,148
territory,148
might,148
northern,147
nor,143
amendment,143
where,142
long,142
troops,140
whole,140
secession,139
public,139
many,139
present,138
held,138
enemy,138
again,137
how,136
until,136
having,136
speech,135
douglas,135
cause,133
resolution,133
good,132
proclamation,132
never,131
among,129
words,128
declared,128
however,128
her,127
here,126
federal,125
democratic,125
give,124
duty,124
whether,124
fort,124
ever,124
political,124
just,123
far,123
already,123
another,122
old,121
purpose,121
constitutional,120
rebels,120
take,119
proposition,119
march,118
three,118
freedom,117
labor,117
once,117
force,117
each,117
back,115
convention,114
still,113
see,112
arms,112
white,112
rights,111
nation,111
themselves,109
liberty,108
work,107
letter,107
place,107
himself,107
way,107
brigade,106
believe,105
loyal,104
condition,104
line,104
representatives,103
because,103
tariff,102
senator,102
go,101
run,100
position,99
course,99
too,99
battle,98
secretary,98
further,97
form,97
1861,97
know,97
fire,96
bull,96
proposed,96
point,96
think,96
hope,96
done,96
side,95
york,95
fact,95
means,95
missouri,94
during,94
few,93
compromise,93
possible,93
authority,93
almost,92
either,92
whose,92
policy,92
end,92
friends,92
project,91
passed,91
nothing,91
seen,90
action,90
itself,90
measure,90
independence,89
july,89
like,89
others,89
american,88
adopted,88
hand,87
protection,85
necessary,85
section,85
decision,85
thought,84
support,84
life,84
days,83
april,83
resolutions,83
court,83
terms,82
second,82
bill,82
less,82
history,81
things,81
forces,81
attack,81
land,81
therefore,81
true,80
better,80
johnston,80
mind,80
save,80
came,80
command,80
grant,79
soon,79
god,79
spirit,79
called,79
received,79
world,78
found,78
plan,78
year,78
case,78
election,77
given,77
whom,77
sir,77
republic,76
1862,76
effect,76
certain,75
lincolns,75
matter,75
citizens,75
use,74
night,74
become,74
person,74
taken,74
territories,74
continued,74
put,74
hands,73
little,73
full,73
view,73
best,72
chapter,72
majority,72
davis,72
since,72
toward,72
officers,71
opinion,71
article,71
does,71
scott,70
institutions,70
favor,69
city,69
moment,69
january,69
result,69
battery,69
patterson,69
ford,69
stand,68
popular,68
declaration,68
principle,68
advance,68
known,68
february,68
ought,68
armed,67
rear,67
issue,67
fugitive,67
enemys,67
regiments,67
away,66
john,66
crittenden,66
confederate,66
attempt,66
orders,66
aid,66
lines,66
ask,66
leaders,65
jefferson,65
capital,65
ground,65
black,65
necessity,65
together,65
interest,65
several,65
armies,64
measures,64
kentucky,64
front,64
yeas,64
why,64
especially,63
principles,63
administration,63
number,63
sent,63
next,62
illinois,62
object,62
off,62
judge,62
department,62
batteries,62
early,61
treason,61
voted,61
equal,61
resolved,61
thing,61
four,60
message,60
immediate,60
blood,60
coming,60
chief,59
future,59
presidential,59
georgia,59
legislature,59
common,59
whatever,59
senators,58
find,58
negroes,58
miles,58
confederacy,58
division,58
neither,57
african,57
west,57
says,57
legislation,57
judgment,57
bring,57
regard,57
december,56
mississippi,56
sumter,56
questions,56
brought,56
meet,56
thousand,56
gutenberg™,56
governor,55
institution,55
close,55
race,55
works,55
proceeded,55
movement,55
negro,54
touching,54
s,54
call,54
manassas,54
used,54
lee,54
forever,54
circumstances,54
nays,54
perhaps,53
proper,53
hence,53
territorial,53
border,53
civil,53
body,53
lost,53
half,53
unless,53
gave,53
field,52
supreme,52
powers,52
hold,52
flag,52
soldiers,52
written,52
morning,52
trade,51
defense,51
met,51
personal,51
beauregard,51
issued,51
reason,51
existence,51
seemed,51
least,51
get,51
except,51
secure,51
ready,51
went,50
destroy,50
taking,50
efforts,50
fully,50
prevent,50
alone,50
consider,50
maryland,50
always,50
instead,50
making,50
thereof,50
system,50
large,50
going,50
guns,50
oclock,50
effort,49
feeling,49
c,49
fight,49
demand,49
offered,49
mcdowell,49
beyond,49
members,49
afterward,49
consent,49
carried,49
forward,49
opposed,49
heard,49
artillery,49
throughout,48
1860,48
england,48
republicans,48
democrats,48
richmond,48
open,48
followed,48
river,48
passage,48
took,48
colored,47
opposition,47
louisiana,47
appeal,47
enough,47
near,47
committee,47
manner,47
language,46
executive,46
heart,46
conspirators,46
sovereignty,46
acts,46
death,46
texas,46
platform,46
indeed,46
road,46
respect,46
foreign,46
preserve,46
doctrine,46
commanding,46
feel,46
maintain,46
hundred,46
felt,46
colonel,46
cavalry,46
nearly,45
america,45
above,45
report,45
latter,45
population,45
remain,45
pennsylvania,45
portion,45
times,45
forth,45
none,44
strong,44
patriotism,44
camp,44
struggle,44
due,44
august,44
revolution,44
masters,44
idea,44
able,44
carry,44
immediately,44
anything,44
follows,44
occasion,44
stone,44
reply,43
change,43
democracy,43
abraham,43
according,43
determined,43
return,43
added,43
reached,43
disunion,43
money,43
engaged,43
bridge,43
centreville,43
june,42
word,42
ordinance,42
votes,42
charleston,42
district,42
pass,42
mere,42
face,42
along,42
defeated,41
session,41
jackson,41
justice,41
adoption,41
mean,41
ohio,41
different,41
suppose,41
belief,41
houses,41
views,41
got,41
regiment,41
debate,40
receive,40
seward,40
human,40
declaring,40
event,40
around,40
desire,40
period,39
contrary,39
cotton,39
elected,39
freetrade,39
congressional,39
patriotic,39
consideration,39
protect,39
willing,39
ordered,39
claim,39
parts,38
bloody,38
declare,38
fought,38
past,38
joint,38
johnson,38
defeat,38
candidate,38
fathers,38
hunter,38
want,38
asked,38
safety,38
interests,38
answer,38
important,38
intended,38
told,38
placed,38
hour,38
winchester,38
conspiracy,37
purposes,37
conflict,37
nature,37
cabinet,37
p,37
subsequently,37
continue,37
keep,37
otherwise,37
six,37
pay,37
wrong,37
infantry,37
gen,37
brigades,37
help,36
british,36
home,36
ten,36
third,36
victory,36
nations,36
soil,36
though,36
massachusetts,36
success,36
wrote,36
rather,36
interfere,36
control,36
provisions,36
enemies,36
look,36
office,36
across,36
leave,36
submitted,36
set,36
triumph,35
kansas,35
charge,35
meeting,35
surrender,35
sherman,35
november,35
tennessee,35
alabama,35
name,35
4,35
duties,35
cease,35
sense,35
strength,35
entire,35
member,35
something,35
relation,35
hill,35
borderstate,34
admitted,34
live,34
stated,34
woods,34
believed,34
j,34
direct,34
preservation,34
direction,34
domestic,34
events,34
fall,34
per,34
defend,34
tell,34
months,34
dred,34
rest,34
voice,34
fear,34
insurrection,34
ultimate,33
decided,33
gradual,33
evening,33
speeches,33
propositions,33
presidents,33
motion,33
she,33
existing,33
vast,33
provided,33
considered,33
friend,33
extent,33
respective,33
honor,33
therein,33
read,33
leaving,33
understood,33
agree,33
major,33
places,32
thirteenth,32
grand,32
cut,32
traitors,32
reported,32
became,32
prohibited,32
previous,32
later,32
supposed,32
danger,32
organized,32
hereby,32
high,32
1st,32
character,32
doubt,32
sentiment,32
giving,32
provide,32
satisfied,32
replied,32
sure,32
employed,32
junction,32
mile,32
logan,31
accept,31
various,31
argument,31
address,31
4th,31
recognize,31
including,31
permitted,31
dispatch,31
execution,31
clay,31
created,31
former,31
required,31
3,31
seems,31
everywhere,31
parties,31
ago,31
main,31
gentlemen,31
earth,31
head,31
headquarters,31
1,30
evil,30
faith,30
causes,30
increase,30
treasonable,30
evidence,30
clause,30
special,30
commenced,30
amendments,30
five,30
authorities,30
twenty,30
children,30
practical,30
attention,30
merely,30
ourselves,30
formed,30
sections,30
turn,30
class,30
myself,30
5th,30
officer,30
saw,30
potomac,30
today,29
contest,29
similar,29
attitude,29
henry,29
hostile,29
servitude,29
island,29
claimed,29
aforesaid,29
rule,29
rapidly,29
driven,29
led,29
foundation,29
certainly,29
terrible,29
although,29
confidence,29
wise,29
clearly,29
mexico,29
wish,29
information,29
services,29
seem,28
arming,28
agitation,28
proslavery,28
h,28
fighting,28
columbia,28
2,28
johnstons,28
yield,28
shot,28
limits,28
secured,28
slaveholding,28
existed,28
despite,28
loss,28
destruction,28
sufficient,28
1864,28
consequences,28
referred,28
moved,28
submit,28
kept,28
hours,28
presented,28
fair,27
dead,27
subsequent,27
clear,27
light,27
ruin,27
utterances,27
substitute,27
failure,27
statement,27
private,27
w,27
interview,27
solid,27
prohibit,27
admission,27
small,27
allowed,27
separation,27
knew,27
oath,27
amount,27
conduct,27
failed,27
exists,27
follow,27
reach,27
lecompton,27
began,27
pieces,27
affairs,27
expressed,27
september,27
18th,27
volunteers,27
seven,27
soldier,27
electronic,27
gutenberg,26
speak,26
fell,26
real,26
commissioners,26
provision,26
numbers,26
blackburns,26
mcdowells,26
glorious,26
mcclellan,26
messrs,26
laid,26
simply,26
greater,26
original,26
million,26
agreed,26
cases,26
meantime,26
refused,26
entitled,26
revenue,26
communication,26
paid,26
stood,26
instant,26
prepared,26
perfectly,26
doing,26
organization,26
abandoned,26
send,26
expected,26
brave,26
sides,26
railroad,26
warrenton,26
sudley,26
living,25
nullification,25
threatened,25
firing,25
campaign,25
douglass,25
till,25
resist,25
impossible,25
clark,25
greatly,25
forced,25
conference,25
account,25
established,25
involuntary,25
truth,25
mentioned,25
protected,25
final,25
leading,25
secede,25
shown,25
looking,25
sacrifice,25
possession,25
equality,25
quite,25
month,25
representative,25
additional,25
pike,25
behind,25
30,24
below,24
branch,24
resistance,24
urged,24
bank,24
peaceful,24
rebellious,24
interference,24
regarded,24
plain,24
raised,24
fugitives,24
st,24
borderstates,24
butler,24
growing,24
draft,24
instance,24
